CO 	 N 	 Idle
26 	 1 	 75.17
44 	 2 	 63.89
60 	 3 	 57.9
76 	 4 	 54.98
85 	 5 	 48.12
102 	 6 	 44.44
105 	 7 	 42.44
113 	 8 	 39.12
128 	 9 	 34.75
130 	 10 	 33.96
144 	 11 	 29.76
145 	 12 	 30.39
158 	 13 	 26.23
158 	 14 	 23.65
172 	 15 	 21.59
160 	 16 	 24.41
153 	 17 	 22.43
169 	 18 	 18.18
177 	 19 	 18.01
187 	 20 	 17.54
196 	 21 	 14.12
187 	 22 	 12.1
188 	 23 	 15.71
201 	 24 	 12.42
224 	 25 	 5.03
189 	 26 	 10.57
214 	 27 	 3.85
216 	 28 	 3.85
224 	 29 	 3.68
226 	 30 	 2.17
215 	 31 	 2.34
217 	 32 	 2.34
219 	 33 	 0.84
220 	 34 	 3.01
228 	 35 	 1
234 	 36 	 0.84
228 	 37 	 0.67
220 	 38 	 1.67
219 	 39 	 0.67
218 	 40 	 1
220 	 41 	 0.83
224 	 42 	 0.33
220 	 43 	 0.5
228 	 44 	 0
223 	 45 	 0.33
227 	 46 	 0.17
203 	 47 	 0
203 	 48 	 0
215 	 49 	 0
211 	 50 	 0
210 	 51 	 0
209 	 52 	 0.67
214 	 53 	 0
218 	 54 	 0
220 	 55 	 0
224 	 56 	 0
228 	 57 	 0
227 	 58 	 0
224 	 59 	 0
210 	 60 	 0
201 	 61 	 0
201 	 62 	 0
216 	 63 	 0
197 	 64 	 0
195 	 65 	 0
199 	 66 	 0
201 	 67 	 0
206 	 68 	 0
209 	 69 	 0
209 	 70 	 0
