CO 	 N 	 Idle
26 	 1 	 82.72
44 	 2 	 68.13
60 	 3 	 64.09
76 	 4 	 57.58
90 	 5 	 53.6
102 	 6 	 49.58
112 	 7 	 45.32
120 	 8 	 44.13
127 	 9 	 39.93
130 	 10 	 39.6
144 	 11 	 35.73
145 	 12 	 34.62
158 	 13 	 29.53
159 	 14 	 26.63
166 	 15 	 27.52
164 	 16 	 23.24
175 	 17 	 20.27
181 	 18 	 23.91
172 	 19 	 21.48
185 	 20 	 18.9
195 	 21 	 17.59
202 	 22 	 14.72
204 	 23 	 10.35
222 	 24 	 4.53
204 	 25 	 14.26
224 	 26 	 8.54
218 	 27 	 6.68
217 	 28 	 5.35
225 	 29 	 4.69
235 	 30 	 1.17
214 	 31 	 7.86
236 	 32 	 2.18
222 	 33 	 3.17
229 	 34 	 2.34
226 	 35 	 3.85
234 	 36 	 2.18
238 	 37 	 1.34
209 	 38 	 2.33
231 	 39 	 1.34
213 	 40 	 1.35
219 	 41 	 1.17
227 	 42 	 0.5
231 	 43 	 0.5
231 	 44 	 2
231 	 45 	 1
238 	 46 	 0.5
239 	 47 	 0.33
234 	 48 	 0.67
220 	 49 	 0.5
232 	 50 	 0
220 	 51 	 0
223 	 52 	 0.17
222 	 53 	 0
231 	 54 	 0.33
229 	 55 	 0
227 	 56 	 0
232 	 57 	 0
236 	 58 	 0.17
234 	 59 	 0
238 	 60 	 0
238 	 61 	 0
235 	 62 	 0
242 	 63 	 0
232 	 64 	 0
227 	 65 	 0
230 	 66 	 0
218 	 67 	 0
224 	 68 	 0
210 	 69 	 0
214 	 70 	 0
